Market,Code,Issue Name,Industry Classfication,Current Price(Close Price),Change,Market Cap.(KRW)
KOSDAQ,206650,EuBio,Other Services,"4,220",170,"102,258,980,920"
KOSDAQ,215600,SillaJen,Other Services,"10,500",-150,"663,567,334,500"
KOSDAQ,900300,ORGANIC TEA COSMETICS,Other Services,"4,755",185,"270,678,375,000"
KOSDAQ,216050,Incross,Other Services,"44,900","1,150","131,962,671,500"
KOSDAQ,900290,GRT,Other Services,"4,430",5,"298,471,250,000"
KOSDAQ,900280,Golden Century,Other Services,"4,890",-190,"145,722,000,000"
KOSDAQ,072990,HCT,Other Services,"12,500",-100,"57,249,175,000"
KOSDAQ,950140,Englewood Lab(Reg.S),Other Services,"9,500",-290,"183,978,463,000"
KOSDAQ,204840,GLPT,Other Services,"2,555",5,"77,208,811,715"
KOSDAQ,900270,HENG SHENG GROUP,Other Services,"2,680",25,"214,400,000,000"
KOSDAQ,230360,ECHO,Other Services,"19,600",150,"159,319,991,600"
KOSDAQ,142760,BLS,Other Services,"6,140",40,"75,855,463,400"
KOSDAQ,900260,Rothwell,Other Services,"2,605",-15,"236,485,156,250"
KOSDAQ,144510,Green Cross Lab Cell,Other Services,"27,000",-200,"284,959,458,000"
KOSDAQ,180400,MG MED,Other Services,"38,700",450,"90,912,066,300"
KOSDAQ,094850,Very Good Leisure,Other Services,"10,200",-50,"142,800,000,000"
KOSDAQ,225330,CMS Edu,Other Services,"27,100",-400,"114,529,532,200"
KOSDAQ,115180,Qurient,Other Services,"24,150",750,"174,538,377,300"
KOSDAQ,900250,Crystal New Material,Other Services,"3,475",65,"214,139,129,225"
KOSDAQ,217730,KANGSTEM BIOTECH,Other Services,"9,930",-30,"141,369,934,500"
KOSDAQ,047920,C-TRI,Other Services,"5,580",80,"66,067,294,860"
KOSDAQ,133750,MegaMD,Other Services,"5,060",90,"113,185,080,580"
KOSDAQ,185490,Eyegene,Other Services,"9,630",-110,"96,656,310,000"
KOSDAQ,215200,megastudyEdu,Other Services,"47,950",-700,"111,453,829,200"
KOSDAQ,141080,LegoChem Bio,Other Services,"27,550",-350,"273,880,252,850"
KOSDAQ,066430,Y-OPTICS MANUFACTURE,Other Services,"1,535",0,"48,166,597,685"
KOSDAQ,001000,SillaTextile,Other Services,"2,440",-25,"59,237,197,600"
KOSDAQ,187220,DTNC,Other Services,"9,610",-110,"94,697,458,940"
KOSDAQ,084650,LabGen,Other Services,"10,350",50,"88,322,749,650"
KOSDAQ,196170,Alteogen,Other Services,"28,800",150,"181,243,152,000"
KOSDAQ,043910,NNE,Other Services,"3,315",765,"72,762,118,455"
KOSDAQ,090850,Ezwel,Other Services,"6,830",-70,"67,569,190,000"
KOSDAQ,168330,NaturalendoTech,Other Services,"16,150",600,"314,544,376,800"
KOSDAQ,089600,Nasmedia,Other Services,"36,650",550,"320,859,425,150"
KOSDAQ,054800,IDIS Holdings,Other Services,"14,750",100,"152,629,401,000"
KOSDAQ,045100,HANYANG ENG,Other Services,"10,500",50,"189,000,000,000"
KOSDAQ,057030,YBM NET,Other Services,"4,945",150,"80,666,286,665"
KOSDAQ,037350,SUNGDO ENG,Other Services,"6,350",90,"98,234,500,000"
KOSDAQ,036420,Jcontentree,Other Services,"3,860",-115,"440,306,270,520"
KOSDAQ,035610,SOLBORN,Other Services,"4,825",-35,"131,944,435,525"
KOSDAQ,028080,HUMAX Holdings,Other Services,"6,730",90,"84,646,615,380"
KOSDAQ,024660,HARIM HOLDINGS,Other Services,"4,175",-25,"372,231,268,250"
KOSDAQ,022100,POSCO ICT,Other Services,"6,180",50,"939,574,625,220"
KOSDAQ,140410,Mezzion Pharma,Other Services,"20,550",300,"167,646,900,000"
KOSDAQ,127120,DNALINK,Other Services,"5,970",-70,"37,482,621,120"
KOSDAQ,130580,NICE D&B,Other Services,"6,030",30,"92,862,000,000"
KOSDAQ,123570,EMNET,Other Services,"4,830",160,"53,796,728,370"
KOSDAQ,900180,WANLI,Other Services,"1,240",-10,"127,109,313,640"
KOSDAQ,032860,GMR Materials,Other Services,812,4,"48,686,578,080"
KOSDAQ,900070,GSMT,Other Services,"2,030",10,"108,418,132,410"
KOSDAQ,900120,CKH,Other Services,"1,720",-65,"189,895,666,040"
KOSDAQ,900040,CGS,Other Services,"1,350",5,"154,474,897,500"
KOSDAQ,900130,WAYPORT,Other Services,"1,020",-25,"56,997,600,000"
KOSDAQ,900110,East Asia Holdings,Other Services,934,1,"72,739,602,440"
KOSDAQ,900080,S&C Engine,Other Services,"1,210",-5,"116,623,604,240"
KOSDAQ,900090,China Hao Ran,Other Services,"1,430",-10,"77,220,000,000"
KOSDAQ,046120,Orbitech,Other Services,"4,355",-125,"56,067,485,045"
KOSDAQ,109820,GENEMATRIX,Other Services,"4,220",-45,"43,108,452,060"
KOSDAQ,095700,Genexine,Other Services,"39,400",850,"700,928,639,800"
KOSDAQ,060240,LONGTU KOREA,Other Services,"9,690",40,"181,883,199,240"
KOSDAQ,067630,HLBLS,Other Services,"5,750",50,"136,124,574,250"
KOSDAQ,092130,e-Credible,Other Services,"12,650",0,"152,351,540,000"
KOSDAQ,096240,Chungdahm,Other Services,"17,700",200,"122,157,930,600"
KOSDAQ,040420,jls,Other Services,"7,840",-40,"122,912,007,680"
KOSDAQ,035080,Interpark Holdings,Other Services,"4,780",30,"279,630,000,000"
KOSDAQ,045970,CoAsia Holdings,Other Services,"6,060",-10,"97,096,356,060"
KOSDAQ,080160,MODETOUR,Other Services,"35,000",100,"441,000,000,000"
KOSDAQ,039310,SEJOONG,Other Services,"4,650",-40,"84,265,751,550"
KOSDAQ,038390,RedcapTour,Other Services,"17,150",150,"147,309,582,000"
KOSDAQ,020710,SIGONG TECH,Other Services,"6,190",20,"124,096,934,300"
KOSDAQ,086040,Biotoxtech,Other Services,"6,540",-120,"94,304,334,420"
KOSDAQ,042420,NEOWIZ HOLDINDS,Other Services,"16,300",-200,"144,366,915,800"
KOSDAQ,083790,CRYSTAL,Other Services,"15,800",50,"408,919,973,800"
KOSDAQ,084990,ViroMed,Other Services,"93,500","-1,600","1,491,910,310,000"
KOSDAQ,067900,Y-ENTEC,Other Services,"3,660",-100,"65,304,658,980"
KOSDAQ,050540,MPC,Other Services,"4,335",-220,"90,032,778,345"
KOSDAQ,072870,megastudy,Other Services,"33,900",0,"136,152,264,900"
KOSDAQ,029960,KOENTEC,Other Services,"3,000",110,"150,000,000,000"
KOSDAQ,068930,Digital DS,Other Services,"3,820",-115,"84,922,316,860"
KOSDAQ,060150,INSUN ENT,Other Services,"6,070",220,"207,498,081,860"
KOSDAQ,034950,KR,Other Services,"42,550",250,"193,198,870,700"
KOSDAQ,049720,KORYOINFO,Other Services,"2,605",10,"37,251,500,000"
KOSDAQ,054930,Yooshin,Other Services,"15,000",200,"45,000,000,000"
KOSDAQ,039830,AURORA,Other Services,"9,500",-190,"102,247,455,000"
KOSDAQ,038290,Macrogen,Other Services,"28,800",-350,"258,366,009,600"
KOSDAQ,037440,HEERIM,Other Services,"4,995",-25,"69,542,762,625"
KOSDAQ,036120,SCI,Other Services,"1,480",50,"52,540,000,000"
KOSDAQ,034810,HaeSung,Other Services,"13,700",0,"133,986,000,000"
KOSDAQ,032040,C&S ASSET MANAGEMENT,Other Services,"2,390",-115,"68,246,069,990"
KOSDAQ,030190,NICE INFO,Other Services,"7,010",-20,"425,610,888,200"
KOSDAQ,010470,ORICOM,Other Services,"6,710",-130,"77,156,612,500"
KOSDAQ,099830,SEG,"Recreation,Culture",795,-25,"72,391,251,510"
KOSDAQ,048550,SM C&C,"Recreation,Culture","2,265",25,"157,491,230,280"
KOSDAQ,036260,IMAGINE ASIA,"Recreation,Culture","1,990",-10,"49,570,993,530"
KOSDAQ,206560,Dexter studios,"Recreation,Culture","7,210",-100,"157,061,262,890"
KOSDAQ,204630,Huayi Brothers,"Recreation,Culture","4,025",50,"111,085,109,625"
KOSDAQ,035480,Majestar,"Recreation,Culture","2,325",-55,"105,587,847,600"
KOSDAQ,032800,Fantagio,"Recreation,Culture","1,305",-100,"65,156,226,615"
KOSDAQ,182360,CUBEENT,"Recreation,Culture","2,035",10,"54,077,615,845"
KOSDAQ,160550,NEW,"Recreation,Culture","9,020",-50,"247,203,076,120"
KOSDAQ,173940,FNC Ent.,"Recreation,Culture","7,470",-20,"107,305,653,600"
KOSDAQ,060300,REDROVER,"Recreation,Culture","5,460",-40,"232,798,025,460"
KOSDAQ,054780,KEYEAST,"Recreation,Culture","2,400",25,"185,888,325,600"
KOSDAQ,046140,SBS Contents Hub,"Recreation,Culture","8,040",50,"172,566,982,200"
KOSDAQ,041510,S.M.,"Recreation,Culture","24,250",-950,"527,574,827,750"
KOSDAQ,035900,JYP Ent.,"Recreation,Culture","5,130",-150,"174,640,651,560"
KOSDAQ,122870,YG Entertainment,"Recreation,Culture","27,000",-650,"446,163,633,000"
KOSDAQ,058420,J way,"Recreation,Culture","2,660",5,"28,462,292,600"
KOSDAQ,046390,SAMHWA NWS,"Recreation,Culture","1,555",-50,"66,527,460,815"
KOSDAQ,047820,CHOROKBAEM,"Recreation,Culture","1,645",-25,"84,772,137,030"
KOSDAQ,086980,SHOWBOX,"Recreation,Culture","5,390",-330,"337,414,000,000"
KOSDAQ,068050,PAN ENTERTAINMENT,"Recreation,Culture","4,460",-130,"45,182,110,280"
KOSDAQ,025980,Emerson,"Recreation,Culture","31,450",-650,"517,798,555,350"
KOSDAQ,048910,DAEWON MEDIA,"Recreation,Culture","6,610",-240,"83,146,833,060"
KOSDAQ,034230,Paradise,"Recreation,Culture","15,500",200,"1,409,611,416,000"
KOSDAQ,073560,WOORISON F&G,Agriculture & Forestry,"2,210",-20,"153,015,191,030"
KOSDAQ,054050,N.W BIO,Agriculture & Forestry,"16,100",-50,"230,230,000,000"
KOSDAQ,225530,BoKwang Industry,Mining & Quarrying,"9,770",770,"336,771,900,000"
KOSDAQ,151860,KG ETS,"Electricity, Gas and  Water supply","3,455",5,"124,380,000,000"
KOSDAQ,053050,GSE,"Electricity, Gas and  Water supply","1,975",-15,"55,419,521,075"
KOSDAQ,094820,ILJIN POWER,Construction,"5,010",-90,"75,544,332,090"
KOSDAQ,078940,ILKYUNG,Construction,"1,685",-40,"50,718,105,710"
KOSDAQ,044180,KD E&C,Construction,450,-10,"113,618,787,300"
KOSDAQ,068150,K&C Global,Construction,116,-84,"8,874,872,204"
KOSDAQ,038870,EcoBio Holdings,Construction,"9,420",-80,"100,953,584,220"
KOSDAQ,066620,KUKBO DESIGN,Construction,"16,100",-50,"120,750,000,000"
KOSDAQ,054940,EXA E&C,Construction,"1,825",-30,"60,541,725,100"
KOSDAQ,091590,"Nam Hwa Const Co., Ltd.",Construction,"5,770",40,"67,739,800,000"
KOSDAQ,046940,Woowon Development,Construction,"4,530",30,"66,367,181,760"
KOSDAQ,042940,LENECO,Construction,"2,015",-10,"29,527,483,570"
KOSDAQ,060370,KT Submarine,Construction,"4,790",35,"104,901,000,000"
KOSDAQ,036190,GEUMHWA PSC,Construction,"37,200",50,"223,200,000,000"
KOSDAQ,035890,SEOHEE CONSTRUCTION,Construction,"1,330",-5,"212,716,476,000"
KOSDAQ,026150,TSConstruct,Construction,"4,850",120,"48,474,847,900"
KOSDAQ,025950,DongshinE&C,Construction,"7,100",50,"59,640,000,000"
KOSDAQ,021320,KCC,Construction,"8,950",230,"191,530,000,000"
KOSDAQ,017000,ShinwonConst,Construction,"5,980",160,"60,206,801,460"
KOSDAQ,016250,eTEC,Construction,"139,100","1,100","389,480,000,000"
KOSDAQ,013120,Dongwon,Construction,"4,330",30,"393,199,073,000"
KOSDAQ,011560,SEBO MEC,Construction,"7,880",70,"82,976,400,000"
KOSDAQ,011370,Seohan,Construction,"2,140",-20,"215,915,011,100"
KOSDAQ,002290,SAMIL ENTERPRISE,Construction,"3,280",-70,"40,672,000,000"
KOSDAQ,001840,Eehwa,Construction,"4,050",810,"80,213,328,000"
KOSDAQ,219550,HKI,Distribution,"2,415",-5,"131,451,517,050"
KOSDAQ,140070,SurplusGLOBAL,Distribution,"7,210",210,"133,341,740,000"
KOSDAQ,220630,Haimarrow,Distribution,"1,825",-5,"166,525,824,275"
KOSDAQ,141020,Fortis,Distribution,"1,815",-135,"42,384,596,925"
KOSDAQ,007720,DAEMYUNG CORPORATION,Distribution,"1,685",5,"169,848,758,250"
KOSDAQ,142210,Unitrontech,Distribution,"9,280",-110,"92,168,496,000"
KOSDAQ,214450,PRP,Distribution,"37,700",-100,"356,876,380,900"
KOSDAQ,074430,AMINOLOGICS,Distribution,"2,865",160,"251,623,908,060"
KOSDAQ,043220,HLB POWER,Distribution,"2,200",0,"83,115,617,200"
KOSDAQ,037370,EG,Distribution,"9,340",10,"70,050,000,000"
KOSDAQ,083550,KM,Distribution,"5,900",-20,"57,695,616,200"
KOSDAQ,043580,Aimhigh,Distribution,"4,050",-80,"103,114,336,500"
KOSDAQ,039980,LEENOS,Distribution,"3,965",165,"142,724,746,645"
KOSDAQ,023430,IE,Distribution,528,-8,"153,496,805,616"
KOSDAQ,108790,Interpark,Distribution,"8,960",-190,"296,035,532,800"
KOSDAQ,065420,SI,Distribution,"1,225",0,"61,300,953,875"
KOSDAQ,051780,CUROHOLDINGS,Distribution,"1,485",40,"89,386,934,670"
KOSDAQ,033430,"KORID, Inc.",Distribution,503,0,"46,518,139,170"
KOSDAQ,159580,0TO7,Distribution,"8,960",-160,"110,118,400,000"
KOSDAQ,032685,SOFTCEN(1P),Distribution,"18,900",-200,"2,699,997,300"
KOSDAQ,032680,SOFTCEN,Distribution,"2,150",-45,"66,177,559,000"
KOSDAQ,058370,GS Tech,Distribution,"1,485",-15,"38,875,348,710"
KOSDAQ,038620,WIZ,Distribution,"2,950",185,"98,986,946,150"
KOSDAQ,038340,REGEN,Distribution,720,0,"39,383,243,280"
KOSDAQ,031860,NSN,Distribution,"3,325",25,"58,407,495,300"
KOSDAQ,016920,Cas,Distribution,"2,365",-45,"38,251,774,880"
KOSDAQ,131220,DAIHAN Scientific,Distribution,"6,820",-150,"48,805,836,420"
KOSDAQ,900100,New Pride,Distribution,"3,280",45,"162,260,757,040"
KOSDAQ,065650,Medifron DBT,Distribution,"3,960",-15,"105,253,287,480"
KOSDAQ,060280,CUREXO,Distribution,"5,030",20,"135,582,975,980"
KOSDAQ,065150,MPK,Distribution,"1,935",-30,"156,364,267,545"
KOSDAQ,067990,DEUTSCH MOTORS INC.,Distribution,"5,250",30,"137,882,367,000"
KOSDAQ,099220,SDN,Distribution,"1,415",10,"49,764,255,275"
KOSDAQ,036620,VirtualTek,Distribution,"2,305",60,"40,046,890,210"
KOSDAQ,036180,YOUNG IN F.T,Distribution,"4,975",-65,"87,561,696,475"
KOSDAQ,043090,PharmswellBio,Distribution,"3,625",-290,"89,106,056,125"
KOSDAQ,065170,NEXT BT,Distribution,"2,055",80,"81,670,510,755"
KOSDAQ,063170,Seoul Auction,Distribution,"10,700",-250,"181,017,250,000"
KOSDAQ,069920,ISE Commerce,Distribution,"4,090",55,"104,352,640,370"
KOSDAQ,039740,KIES,Distribution,"5,250",-180,"42,096,584,250"
KOSDAQ,024950,SAMCHULY,Distribution,"14,500",100,"192,466,866,500"
KOSDAQ,093520,MAKUS,Distribution,"3,570",-100,"57,702,238,440"
KOSDAQ,038070,SeouLin,Distribution,"12,800",-100,"76,440,243,200"
KOSDAQ,033320,JC HYUN SYSTEMS,Distribution,"6,610",-30,"126,346,395,520"
KOSDAQ,032940,WonIk,Distribution,"5,840",10,"73,785,082,880"
KOSDAQ,050120,LIVEPLEX,Distribution,"1,820",-25,"75,751,179,140"
KOSDAQ,031310,EYESVISION,Distribution,"4,020",-10,"63,405,747,480"
KOSDAQ,060590,CTC BIO,Distribution,"9,540",-10,"167,189,768,820"
KOSDAQ,051380,PCD,Distribution,"4,085",-80,"30,801,455,560"
KOSDAQ,013990,AGABANG&CO,Distribution,"7,180",-140,"236,132,508,480"
KOSDAQ,054630,ADChips,Distribution,"2,955",10,"33,702,037,995"
KOSDAQ,051500,CJ FW,Distribution,"32,050",-200,"380,484,331,300"
KOSDAQ,032190,DAOU DATA,Distribution,"10,900",0,"417,470,000,000"
KOSDAQ,031330,SAMT,Distribution,"1,815",-10,"181,491,046,605"
KOSDAQ,024060,Heungu,Distribution,"3,140",-30,"47,100,000,000"
KOSDAQ,019010,GRAND DEPT,Distribution,"12,450",-250,"60,009,000,000"
KOSDAQ,016670,Pobis TNC,Distribution,"2,665",15,"106,808,024,570"
KOSDAQ,014190,WONIK CUBE Corp.,Distribution,"2,485",5,"68,088,766,410"
KOSDAQ,012700,LEADCORP,Distribution,"6,970",0,"186,442,133,100"
KOSDAQ,006730,Seobu T&D,Distribution,"17,200",-50,"590,514,958,000"
KOSDAQ,000440,JA Enervis,Distribution,"32,650",-100,"40,663,158,900"
KOSDAQ,018700,Barunson,Hotels and Restaurants,"11,550",-200,"160,590,045,000"
KOSDAQ,052300,W Holding Company,Transportation,653,1,"68,774,613,000"
KOSDAQ,032280,SamIl,Transportation,"2,665",-85,"43,209,217,350"
KOSDAQ,024800,YOOSUNG T&S,Transportation,"5,530",50,"125,659,489,550"
KOSDAQ,003100,SUN KWANG,Transportation,"18,500",-100,"122,100,000,000"
KOSDAQ,257730,Shinhan 3rd SPAC,Financials,"1,995",65,"6,992,475,000"
KOSDAQ,256840,NH SPAC XI,Financials,"1,920",-15,"13,113,600,000"
KOSDAQ,241520,DSC Investment,Financials,"5,050",-330,"88,375,000,000"
KOSDAQ,246690,TSInvestment,Financials,"4,010",-220,"89,908,226,040"
KOSDAQ,254120,IBKS No.5 SPAC,Financials,"1,995",-10,"8,977,500,000"
KOSDAQ,232330,SK NO.3 SPAC,Financials,"1,925",-5,"6,930,000,000"
KOSDAQ,252500,IBKSGMB SPAC,Financials,"2,005",5,"10,656,575,000"
KOSDAQ,250930,KB No.10 SPAC,Financials,"1,935",10,"10,081,350,000"
KOSDAQ,250060,HanaFinancial8thSPAC,Financials,"1,965",50,"12,579,930,000"
KOSDAQ,242040,Kyobo BNK SPAC,Financials,"1,945",0,"13,828,950,000"
KOSDAQ,038160,PAXNET,Financials,"8,280",-90,"91,721,873,880"
KOSDAQ,240540,Korea No.4 SPAC,Financials,"1,950",0,"10,725,000,000"
KOSDAQ,239340,M-5 SPAC,Financials,"1,985",-5,"9,528,000,000"
KOSDAQ,235010,HI AI 1 SPAC,Financials,"1,940",25,"9,603,000,000"
KOSDAQ,232270,KB No.9 SPAC,Financials,"1,940",0,"26,802,458,000"
KOSDAQ,232140,Daishin Balance II,Financials,"2,995",0,"31,806,900,000"
KOSDAQ,230490,DONGBU SPAC IV,Financials,"1,940",0,"10,282,000,000"
KOSDAQ,230240,Hana Financial Seventh SPAC,Financials,"1,930",10,"15,440,000,000"
KOSDAQ,227950,Goldenbridge SPAC 4,Financials,"1,930",0,"14,571,500,000"
KOSDAQ,226340,HMCIBNo.3SPAC,Financials,"1,940",0,"12,610,000,000"
KOSDAQ,226850,Kiwoom No.4 SPAC,Financials,"1,940",5,"19,795,760,000"
KOSDAQ,226360,Hyundai 4th SPAC,Financials,"1,930",0,"10,257,950,000"
KOSDAQ,225440,EBEST SPAC3,Financials,"1,945",5,"7,974,500,000"
KOSDAQ,225430,IBKS No.3 SPAC,Financials,"2,005",0,"9,022,500,000"
KOSDAQ,226440,DONGBU SPAC III,Financials,"1,935",0,"8,610,750,000"
KOSDAQ,225590,SHT-2 SPAC,Financials,"1,940",-5,"9,903,700,000"
KOSDAQ,225570,NH SPAC IX,Financials,"1,980",0,"17,919,000,000"
KOSDAQ,221200,EUGENE SPAC III,Financials,"1,955",20,"13,196,250,000"
KOSDAQ,223040,Kyobo 5 SPAC,Financials,"1,965",10,"10,669,950,000"
KOSDAQ,221950,Huyndai 3rd SPAC,Financials,"1,950",10,"13,289,250,000"
KOSDAQ,222390,KB No.8 SPAC,Financials,"1,955",10,"20,156,050,000"
KOSDAQ,220260,CAPE-ES SPAC,Financials,"2,100",20,"6,342,000,000"
KOSDAQ,219860,HA SPAC 2,Financials,"1,945",10,"13,854,235,000"
KOSDAQ,219960,Yuanta 2 SPAC,Financials,"1,960",0,"12,740,000,000"
KOSDAQ,218710,Kiwoom No.3 SPAC,Financials,"1,955",20,"13,098,500,000"
KOSDAQ,219580,Goldenbridge SPAC III,Financials,"1,960",-5,"9,604,000,000"
KOSDAQ,218410,NH SPAC VIII,Financials,"1,945",0,"13,284,350,000"
