No.,Code,Name,Industry Code,Industry,No. of Listed Shares(shr.),Capital Stock(KRW),ParValue,Currency
1,015260,A &amp; P,032602,Manufacture of Electronic Components,"48,684,868","24,342,434,000",500,KRW
2,078520,ABLE C&amp;C,032004,Manufacture of Other Chemical Products,"15,378,717","7,689,358,500",500,KRW
3,095570,AJ Networks,126903,Renting of Industrial Machinery and Equipment,"46,822,295","46,822,295,000","1,000",KRW
4,068400,AJ RENT A CAR,126901,Renting of Transport Equipment,"22,146,300","11,073,150,000",500,KRW
5,033660,AJU CAPITAL,116409,Other Financial Intermediation,"57,545,890","287,729,450,000","5,000",KRW
6,006840,AK Holdings,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","13,247,561","66,237,805,000","5,000",KRW
7,161000,AK PETROCHEMICAL,032004,Manufacture of Other Chemical Products,"32,040,000","16,020,000,000",500,
8,001780,ALUKO,032402,Manufacture of Basic Precious and Non-ferrous Metals,"74,524,102","37,262,051,000",500,KRW
9,002250,ALVOGEN KOREA,032102,Manufacture of Medicaments,"11,857,922","59,289,610,000","5,000",KRW
10,007630,AMNIS,032604,Manufacture of Telecommunication and Broadcasting Apparatuses,"16,981,103","8,490,551,500",500,KRW
11,002790,AMORE Group,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","82,458,180","44,450,975,000",500,KRW
12,090430,AMOREPACIFIC,032004,Manufacture of Other Chemical Products,"58,458,490","34,508,160,000",500,KRW
13,008700,ANAM ELEC,032605,Manufacture of Electronic Video and Audio Equipment,"77,124,820","38,562,410,000",500,KRW
14,101140,ARTIS,074604,Wholesale of Household Goods,"20,027,281","10,013,640,500",500,KRW
15,183190,ASIA CEMENT,032303,"Manufacture of Cement, Lime and Plaster and Its Products","3,295,809","16,479,045,000","5,000",KRW
16,002030,ASIA HOLDINGS,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","2,191,024","10,955,120,000","5,000",KRW
17,083570,ASIA PACIFIC NO.10,126901,Renting of Transport Equipment,"2,607,905","13,039,525,000","5,000",KRW
18,083580,ASIA PACIFIC NO.11,126901,Renting of Transport Equipment,"2,607,905","13,039,525,000","5,000",KRW
19,083590,ASIA PACIFIC NO.12,126901,Renting of Transport Equipment,"2,607,905","13,039,525,000","5,000",KRW
20,083600,ASIA PACIFIC NO.13,126901,Renting of Transport Equipment,"2,607,905","13,039,525,000","5,000",KRW
21,083610,ASIA PACIFIC NO.14,126901,Renting of Transport Equipment,"1,946,194","9,730,970,000","5,000",KRW
22,083620,ASIA PACIFIC NO.15,126901,Renting of Transport Equipment,"1,946,583","9,732,915,000","5,000",KRW
23,002310,ASIA PAPR MFG,031702,"Manufacture of Corrugated Cardboard, Paper Boxes and Paper Containers","8,956,502","44,782,510,000","5,000",KRW
24,017900,AUK,032601,Manufacture of Semiconductor,"57,943,763","28,971,881,500",500,KRW
25,090370,AVISTA INC.,031401,"Manufacture of Sewn Wearing Apparel, Except Fur Apparel","61,443,334","30,721,667,000",500,KRW
26,020560,Asiana Airlines,085101,Scheduled Air Transport,"205,235,294","1,026,176,470,000","5,000",KRW
27,014580,BAEKKWANG MIN PDT,032303,"Manufacture of Cement, Lime and Plaster and Its Products","27,583,100","13,791,550,000",500,KRW
28,035150,BAIKSAN,032202,Manufacture of Plastic Products,"24,200,000","14,000,000,000",500,KRW
29,027410,BGF Retail,074701,Retail Sale in Non-Specialized Stores,"49,547,625","49,547,625,000","1,000",
30,005180,BINGGRAE,031005,Manufacture of Dairy Products and edible Ice Cakes,"9,851,241","49,756,205,000","5,000",KRW
31,138930,BNK Financial Group,116409,Other Financial Intermediation,"325,935,246","1,629,676,230,000","5,000",KRW
32,000890,BOHAE BREW,031101,Manufacture of  Alcoholic Beverages,"96,012,607","48,006,303,500",500,KRW
33,002760,BOLAK,032004,Manufacture of Other Chemical Products,"11,980,000","11,980,000,000","1,000",KRW
