회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
신라젠,215600,자연과학 및 공학 연구개발업,펙사벡(바이러스 항암면역치료제),2016-12-06,12월,문은상,http://www.sillajen.comkormainmain.aspx,부산광역시
IBKS제5호스팩,254120,금융지원 서비스업,기업인수합병,2016-12-02,12월,김형준,,서울특별시
오션브릿지,241790,기타 화학제품 제조업,"반도체 케미칼(HCDS, Ticl4 외), 반도체 장비",2016-12-01,12월,이경주,http://www.oceanbridge.co.kr,경기도
퓨쳐켐,220100,의약품 제조업,"PET 방사성의약품, 자동합성장치, 합성시약 및 전구체",2016-12-01,12월,지대윤,,서울특별시
뉴파워프라즈마,144960,특수 목적용 기계 제조업,플라즈마 세정기(Remote Plasma Cleaning Generator),2016-11-30,12월,위순임,http://newpower.co.kr,경기도
엘앤케이바이오,156100,의료용 기기 제조업,척추 임플란트,2016-11-30,12월,강국진,http://www.lnkbiomed.com,경기도
에이치엔티,176440,전자부품 제조업,휴대폰 카메라 모듈,2016-11-28,12월,정철민,http://www.hntelec.com,경기도
핸디소프트,220180,소프트웨어 개발 및 공급업,"EKP, BPM, 네트워크장비",2016-11-24,12월,"이상산, 이진수",http://www.handysoft.co.kr,경기도
SK3호스팩,232330,금융지원 서비스업,기업인수합병,2016-11-16,12월,이지영,,서울특별시
클리오,237880,기타 화학제품 제조업,"색조화장품, 기초화장품",2016-11-09,12월,한현옥,http://www.clio.co.kr,서울특별시
오가닉티코스메틱,900300,"회사본부, 지주회사 및 경영컨설팅 서비스업","유아용 화장품(클렌징, 여름용, 피부케어, 기능성 화장품)",2016-11-04,12월,채정망,,홍콩
로고스바이오,238120,"안경, 사진장비 및 기타 광학기기 제조업","자동세포카운팅시스템, 생체조직투명화시스템, 디지털세포이미징시스템",2016-11-03,12월,정연철,,경기도
IBKS지엠비스팩,252500,금융지원 서비스업,기업인수 및 합병,2016-11-02,12월,임홍재,,서울특별시
인크로스,216050,광고업,미디어렙서비스,2016-10-31,12월,이재원,,서울특별시
에이치엘사이언스,239610,기타 식품 제조업,건강기능식품 등,2016-10-28,12월,이해연,http://www.hlscience.com,경기도
코스메카코리아,241710,기타 화학제품 제조업,"화장품 OEM, ODM",2016-10-28,12월,조임래,http://www.cosmecca.com,충청북도
GRT,900290,"회사본부, 지주회사 및 경영컨설팅 서비스업","광학필름, 포장필름",2016-10-25,06월,주영남,,홍콩
골든센츄리,900280,"회사본부, 지주회사 및 경영컨설팅 서비스업",트랙터용 휠 및 타이어,2016-10-19,12월,주승화,http://www.jsj-wheel.co.kr,케이맨 제도
인텔리안테크,189300,통신 및 방송 장비 제조업,"해상용 위성통신 안테나, 해상용 위성방송 수신안테나",2016-10-18,12월,성상엽,http://www.intelliantech.com,경기도
에이치시티,072990,기타 과학기술 서비스업,기술검사서비스,2016-10-17,12월,이수찬,http://www.hct.co.kr,경기도
잉글우드랩,950140,"회사본부, 지주회사 및 경영컨설팅 서비스업",기초화장품(화장품 제조),2016-10-14,12월,David C. Chung,http://www.englewoodlab.com,미국
앤디포스,238090,플라스틱제품 제조업,"TSP용 양면 테이프, 윈도우 필름",2016-10-12,12월,"윤호탁, 김인섭",http://www.ndfos.com,충청북도
수산아이앤티,050960,소프트웨어 개발 및 공급업,"공유단말접속관리서비스, 보안솔루션 등",2016-10-11,12월,이승석,http://www.soosanint.co.kr,서울특별시
미투온,201490,소프트웨어 개발 및 공급업,소셜 카지노 게임,2016-10-10,12월,손창욱,http://www.me2on.com,서울특별시
